Database Individual number,Site_code,Sample_ID,Site,Region,Subregion,Agriculture,Prefecture,Long,Lat,Phase,Phase II,Period Code,Absolute chronology?,Typology,Form,Ceramic type,Concentration,d13C16,d13C18,bigD,TMTD,Pristanic,Phytanic,Percent_SRR,EH,APAA,EH_RM,APAA_C20_18,APAA_C20,Aquatic,Miliacin,PS,TAGS,SE
ENC084,ASA,ASA082IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,9,-29.859,-29.648,0.211,no,no,no,,,no,no ,,no,no,no,0.87,no,
ENC085,ASA,ASA083IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,20,-29.773,-29.306,0.467,no,no,no,,,no,no ,,no,no,no,1.04,no,yes
ENC086,ASA,ASA084IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,64,-26.237,-25.274,0.963,no,no,no,,,no,no ,,no,no,no,0.72,no,
ENC087,ASA,ASA085IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,5,,,,no,no,no,,,no,no ,,no,no,no,,no,
ENC088,ASA,ASA086IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,85,-26.388,-25.033,1.355,no,no,yes,78.5,,no,no ,,no,no,no,0.89,no,
ENC089,ASA,ASA087IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,19,-22.635,-27.015,-4.38,yes,no,yes,58.0,,no,no ,,no,no,no,2.56,no,
ENC090,ASA,ASA088IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,50,-29.674,-29.884,-0.21,no,no,no,,,no,no ,,no,no,no,1.16,no,
ENC091,ASA,ASA089IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,75,-32.147,-32.174,-0.027,yes,no,no,,8.2,yes,yes,,no,no,no,2.58,no,yes
ENC092,ASA,ASA090IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Unknown,Cooking vessel,ceramic powder,8,-29.82,-29.824,-0.004,no,no,no,,,no,no ,,no,no,no,0.72,no,
ENC093,ASA,ASA091IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Unknown,Cooking vessel,ceramic powder,21,-30.189,-29.838,0.351,no,no,no,,,no,no ,,no,no,no,0.72,no,yes
ENC094,ASA,ASA092IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Jar,ceramic powder,2,,,,no,no,no,,,no,no ,,no,no,no,,no,
ENC095,ASA,ASA093IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,11,-27.213,-28.485,-1.272,no,no,no,,,no,no ,,no,no,no,1.08,no,
ENC096,ASA,ASA094IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,4,-26.885,-27.935,-1.05,yes,no,yes,,,no,no ,,no,no,no,,no,
ENC097,ASA,ASA095IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,31,-28.446,-29.036,-0.59,no,no,no,,,no,no ,,no,no,no,1.00,no,yes
ENC098,ASA,ASA096IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Ongagawa,Cooking vessel,ceramic powder,13,-29.044,-29.045,-0.001,no,no,no,,6.4,yes,yes,,no,no,no,1.00,yes,yes
