"LabCode","SamplingLocation"
"----","H-27, No.3, H-57, No.2, H-18, No.7, H-44, No.6　3ｃ2ｂ, H-21, No.5, H-52, No.4, H-57, No.1, 炭窯１　埋土層, 第3調査区3地点　Ⅳb層　C14-3, 第1調査区5地点泥層中部　C14-5, 第1調査区5地点泥層最下部　C14-6, 第3調査区7地点　Ⅳb層　C14-4, 第3調査区1地点　Ⅲc層最上部付近に倒木していた丸太材　C14-2, 第3調査区1地点　Ⅲc層底部　C14-1, 炭窯２　埋土層, 燃焼室内炭層　14C-4, 灰原SW　14C-5, 焚口畦炭層　14C-6, 燃焼室内炭層　14C-3, 焚口畦炭層　14C-2, SK2120, 燃焼室内炭層　14C-1"
"09R0912","試料A　Aトレンチ7区純貝層,重量約10g"
"09R0913","試料B　Aトレンチ7区純貝層,重量約10g"
"09R0914","試料C　Aトレンチ7区純貝層,重量約3g"
"Beta-113953","SB47"
"Beta-114235","試料名:№1　御倉谷調査区　焼土壙SK961"
"Beta-114236","試料名:№2　山城主郭整地土　北部"
"Beta-114237","試料名:№3　山城主郭整地土　南西部"
"Beta-114238","試料名:№4　山城主郭整地土　北西部"
"Beta-114239","試料名:№5　山城主郭柱穴　SB03　P-3"
"Beta-114240","試料名:№6　山城主郭柱穴　SB03　P-5"
"Beta-114241","試料名:№7　山城主郭柱穴　SB03　P-10"
"Beta-114242","試料名:№8　山城主郭柱穴　SB03　P-11"
"Beta-114243","試料名:№9　山城主郭柱穴　SB03　P-12"
"Beta-114244","試料名:№10　里城調査区　焼土壙SK920"
"Beta-114245","試料名:№11　里城調査区　柱穴"
"Beta-114246","試料名:№12　里城調査区　柱穴"
"Beta-114247","試料名:№13　里城調査区　柱穴"
"Beta-114248","試料名:№14　里城調査区　窯SX918"
"Beta-114304","SI96　炉A　3層"
"Beta-114305","SI107　旧炉B　埋土"
"Beta-114306","SI107　新炉　南側"
"Beta-114307","SI143　3層"
"Beta-114308","SI174  Pit1  2層"
"Beta-114521","7c層　炉址HE37, No.1"
"Beta-114522","7c層　10-05区、竪穴住居址HP2炉, No.2"
"Beta-114523","8層　11-13/14区、炭化物集中DC12, No.3"
"Beta-114524","10層　08-11区、竪穴住居址HP1、炭B, No.4"
"Beta-114626","1997年度　　№4　Ⅲ区右岸茶褐色泥層"
"Beta-114627","1997年度　　№5　Ⅴ区-B砂礫層5"
"Beta-114631","試料名:№1(炭-1)　SB04　棟木?　焼失住居"
"Beta-114632","試料名:№2(炭-2)　SB04　梁･扠首?　焼失住居"
"Beta-114633","試料名:№3(炭-3)　SB04　桁　焼失住居"
"Beta-114634","試料名:№4(炭-4)　SB04　垂木　焼失住居"
"Beta-114635","試料名:№5　SK05　炭-1,板状"
"Beta-114636","試料名:№6　SK09-3　14層"
"Beta-114637","試料名:№7　B区､大坊跡(黒褐色土層)"
"Beta-114647","遺構名:SB12　側柱建物(居宅建物)　試料名:P-5"
"Beta-114648","遺構名:SB11　側柱建物(居宅建物)　試料名:2　"
"Beta-114649","遺構名:SB09　側柱建物(居宅建物)　試料名:4　"
"Beta-114650","遺構名:SB07　側柱建物(居宅建物)　試料名:33　"
"Beta-114651","遺構名:SB06　側柱建物(居宅建物)　試料名:13"
"Beta-114652","遺構名:SB05　総柱建物(倉庫跡)　試料名:P-7"
"Beta-114653","遺構名:SB03　総柱建物(倉庫跡)　試料名:4"
"Beta-114654","遺構名:SB02　総柱建物(倉庫跡)　試料名:4　"
"Beta-114833","不明"
"Beta-114834","不明"
"Beta-114835","不明"
"Beta-114836","不明"
"Beta-114837","不明"
"Beta-114838","不明"
"Beta-114839","不明"
"Beta-114840","不明"
"Beta-114841","不明"
"Beta-114842","不明"
"Beta-114843","不明"
"Beta-114844","不明"
"Beta-114845","不明"
"Beta-114846","不明"
"Beta-114847","不明"
"Beta-114848","不明"
"Beta-114849","不明"
"Beta-114850","不明"
"Beta-114851","不明"
"Beta-114852","不明"
"Beta-114853","不明"
"Beta-114854","不明"
"Beta-114855","不明"
"Beta-114856","不明"
"Beta-114857","不明"
"Beta-114881","Ⅷ～Ⅸ層（黒色土層～黒褐色土層）　PIT1竪穴住居"
"Beta-114882","Ⅷ層（黒色土層）　PIT3竪穴床面"
"Beta-114883","Ⅷ～Ⅸ層（黒色土層～黒褐色土層）　PIT4竪穴住居"
"Beta-114884","Ⅷ～Ⅸ層（黒色土層～黒褐色土層）　PIT5竪穴住居"
"Beta-114886","試料名:1"
"Beta-114887","6層　14-45区　植物種子集中DS01"
"Beta-114888","6層　20-36区　炉址SP05HE2"
"Beta-114889","6層　18-37区　炉址HE28"
"Beta-114890","8層　18-37区　竪穴住居址カマドHP-6"
"Beta-114891","8層　18-37区　竪穴住居址カマドHP-7"
"Beta-114892","8層　18-37区　炉址HE-04"
"Beta-114893","5a-3層　18-37区　炉址HE-01"
"Beta-114894","A地点53-79区、PIT2、Ⅰ層"
"Beta-114895","A地点53-76区、PHA51、Ⅰ層"
"Beta-114896","B地点52-25区、上部泥炭層"
"Beta-114897","A地点53-80区、下部泥炭層"
"Beta-114898","A地点53-79区、下部泥炭層"
"Beta-115499","7区ST1340 P1内"
"Beta-115500","7区ST1340"
"Beta-115501","7区ST1341　SK1984内"
"Beta-115502","7区ST1341　EP2723内"
"Beta-115503","7区ST1341"
"Beta-115504","7区SK2790"
"Beta-115505","7区SK2737"
"Beta-115506","7区ST838"
"Beta-115507","7区ST2892"
"Beta-115508","7区ST824b-Y"
"Beta-115956","試料名:№3　基本土層断面　暗灰色土層"
